,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
63,Chatham Central High,1,0,0,0,35.61512,-79.390631,404,14.16,21.0,123.0,0.356435643564
64,Chatham Charter,1,0,1,0,35.742493,-79.479562,497,14.97,35.0,30.0,0.130784708249
65,Cherryville High,1,0,0,1,35.389682,-81.379896,554,14.37,54.0,229.0,0.51083032491
66,City of Medicine Academy,1,0,0,1,36.038838,-78.902553,321,13.66,22.0,143.0,0.514018691589
67,Clayton High,1,0,0,0,35.650024,-78.46642,1512,17.69,11.0,65.0,0.0502645502646
68,Cleveland ECHS,1,0,0,1,35.27757,-81.490361,223,32.94,29.0,103.0,0.591928251121
69,Cleveland High,1,0,0,0,35.551507,-78.500107,1468,18.26,73.0,327.0,0.272479564033
70,Clinton High,1,0,0,1,34.973848,-78.329093,848,15.99,57.0,455.0,0.603773584906
71,Clover Garden,1,0,1,1,36.187017,-79.471089,607,17.97,64.0,131.0,0.321252059308
72,Cochrane Collegiate Academy,1,0,0,1,35.246492,-80.750138,702,14.51,3.0,696.0,0.995726495726
73,Collaborative College for Technology,1,0,0,1,35.783453,-80.893121,240,25.32,20.0,60.0,0.333333333333
74,Columbia High,1,0,0,1,35.919076,-76.245535,167,9.86,15.0,85.0,0.59880239521
75,Community School of Davidson,1,0,1,0,35.50808,-80.849741,1327,14.61,42.0,28.0,0.0527505651846
76,Concord High,1,0,0,1,35.43365,-80.582182,1252,15.82,168.0,578.0,0.595846645367
77,Corinth Holders High,1,0,0,0,35.72476,-78.337811,1679,18.4,41.0,364.0,0.241215008934
78,Cox Mill High School,1,0,0,0,35.39507,-80.728611,1478,19.23,51.0,217.0,0.181326116373
79,Craven Early College High,1,0,0,1,35.111602,-77.102325,205,16.24,6.0,61.0,0.326829268293
80,Crest High,1,0,0,1,35.271571,-81.609854,1260,15.01,73.0,524.0,0.47380952381
81,Creswell High,1,0,0,1,35.868941,-76.395907,155,9.69,0.0,152.0,0.98064516129
82,Croatan High,1,0,0,0,34.748,-76.89549,904,15.69,50.0,168.0,0.241150442478
83,Cross Creek Early College,1,0,0,1,35.070959,-78.893585,247,16.47,27.0,105.0,0.534412955466
84,Williams Academy,1,0,1,1,36.0216,-81.9297,104,6.94,3.0,85.0,0.846153846154
86,CS Brown High,1,0,0,1,36.38755,-76.9331,43,7.17,0.0,40.0,0.93023255814
87,Cumberland International Early CollegeHS,1,0,0,1,35.071595,-78.894515,234,18.0,24.0,110.0,0.57264957265
88,Currituck County High,1,0,0,0,36.372527,-75.969111,972,14.62,59.0,233.0,0.300411522634
89,Cuthbertson High,1,0,0,0,34.97595,-80.740031,1449,20.81,35.0,112.0,0.101449275362
90,D H Conley High,1,0,0,0,35.530585,-77.324777,1644,18.46,65.0,472.0,0.326642335766
91,Dalton McMichael High,1,0,0,1,36.417552,-79.942671,985,17.74,0.0,969.0,0.983756345178
92,Davidson Early College,1,0,0,1,35.86879,-80.29662,107,24.43,11.0,45.0,0.523364485981
93,Davie County Early College High,1,0,0,1,35.870882,-80.55553,156,26.0,11.0,41.0,0.333333333333
94,Davie County High,1,0,0,1,35.873036,-80.552196,1799,16.89,108.0,517.0,0.347415230684
95,Discovery High School,1,0,0,1,35.67959,-81.222361,224,16.91,3.0,33.0,0.160714285714
96,Dixon High,1,0,0,0,34.587976,-77.478352,835,17.4,31.0,110.0,0.168862275449
97,Douglas Byrd High,1,0,0,1,35.030827,-78.948512,1189,14.09,85.0,815.0,0.756938603869
98,Duplin Early College High,1,0,0,1,34.946531,-77.978821,180,25.71,15.0,109.0,0.688888888889
99,Durham School of the Arts,1,1,0,1,36.003058,-78.90678,1650,15.59,97.0,539.0,0.385454545455
101,E E Smith High,1,0,0,1,35.084083,-78.895641,1064,15.03,94.0,662.0,0.710526315789
102,Early College at Guilford,1,0,0,0,36.095092,-79.890057,198,24.6,6.0,14.0,0.10101010101
103,Early College EAST High,1,0,0,0,34.878517,-76.898878,220,24.12,8.0,37.0,0.204545454545
104,Early College of Forsyth Co,1,0,0,0,36.068835,-80.271743,211,23.44,0.0,0.0,0.0
105,East Bladen High,1,0,0,1,34.581079,-78.530675,646,14.32,0.0,643.0,0.995356037152
106,East Burke High,1,0,0,1,35.721566,-81.482113,991,17.42,151.0,337.0,0.492431886983
107,East Carteret High,1,0,0,1,34.78169,-76.631261,596,13.9,26.0,207.0,0.390939597315
108,East Chapel Hill High,1,0,0,0,35.961012,-79.029733,1411,16.47,39.0,243.0,0.199858256556
109,East Columbus High,1,0,0,1,34.335906,-78.501626,465,14.09,22.0,235.0,0.552688172043
110,East Davidson High,1,0,0,1,35.850167,-80.101925,958,17.26,56.0,327.0,0.399791231733
111,East Duplin High,1,0,0,1,34.939216,-77.784213,995,18.14,57.0,484.0,0.543718592965
112,East Forsyth High,1,0,0,1,36.117527,-80.150532,1899,18.14,96.0,578.0,0.354923644023
113,East Gaston High,1,0,0,0,35.315441,-81.075626,1122,16.67,78.0,402.0,0.427807486631
114,East Henderson High,1,0,0,1,35.297618,-82.42402,936,14.64,70.0,401.0,0.503205128205
115,East Lincoln High,1,0,0,0,35.454121,-81.025771,924,18.09,57.0,236.0,0.3170995671
116,East Mecklenburg High,1,0,0,1,35.176007,-80.757978,1840,16.52,104.0,960.0,0.578260869565
117,East Montgomery High,1,0,0,1,35.339379,-79.777223,632,14.58,59.0,364.0,0.669303797468
118,East Rowan High,1,0,0,1,35.593432,-80.423361,1055,16.28,87.0,363.0,0.42654028436
119,East Rutherford High School,1,0,0,1,35.340594,-81.818253,714,14.76,0.0,711.0,0.995798319328
120,East Surry High,1,0,0,1,36.394408,-80.477896,641,15.35,54.0,225.0,0.435257410296
121,East Wake Academy,1,0,1,1,35.831971,-78.30658,1139,15.65,92.0,94.0,0.163301141352
