,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
272,New Bern High,1,0,0,1,35.100523,-77.115501,1697,16.97,105.0,671.0,0.457277548615
273,New Hanover High,1,0,0,1,34.237374,-77.932373,1695,16.15,105.0,790.0,0.52802359882
274,Newton-Conover High,1,0,0,1,35.67848,-81.225066,811,15.06,78.0,385.0,0.570900123305
275,North Brunswick High,1,0,0,1,34.24053,-78.024524,1048,15.63,86.0,464.0,0.524809160305
276,North Buncombe High,1,0,0,1,35.739711,-82.557604,1115,17.64,92.0,349.0,0.395515695067
277,North Davidson High,1,0,0,0,35.924514,-80.248503,1523,17.34,75.0,360.0,0.285620485883
278,North Duplin Jr Sr High,1,0,0,1,35.134496,-78.085798,528,17.03,49.0,230.0,0.528409090909
279,North East Carolina Prep,1,0,1,1,35.891794,-77.58057,1306,15.46,104.0,610.0,0.546707503828
280,North Edgecombe High,1,0,0,1,35.989362,-77.581588,244,10.4,0.0,241.0,0.987704918033
281,North Forsyth High,1,0,0,1,36.174711,-80.282343,1244,15.57,84.0,789.0,0.701768488746
282,North Gaston High,1,0,0,1,35.334439,-81.177503,1095,18.0,87.0,510.0,0.545205479452
283,North Henderson High,1,0,0,1,35.360987,-82.422323,1089,16.08,81.0,482.0,0.516988062443
284,North Iredell High,1,0,0,1,35.93,-80.86935,1176,17.99,103.0,358.0,0.392006802721
285,North Johnston High,1,0,0,1,35.57099,-78.184379,751,13.89,57.0,293.0,0.466045272969
286,North Lenoir High,1,0,0,0,35.341711,-77.679325,933,16.09,0.0,925.0,0.99142550911
287,North Lincoln High,1,0,0,0,35.533586,-81.119675,974,17.49,61.0,219.0,0.287474332649
288,North Mecklenburg High,1,0,0,1,35.372678,-80.834877,1881,18.46,119.0,963.0,0.575225943647
289,North Moore High,1,0,0,1,35.46759,-79.553741,640,17.17,37.0,275.0,0.4875
290,North Pitt High,1,0,0,1,35.747502,-77.36312,917,16.0,30.0,554.0,0.636859323882
291,North Rowan High,1,0,0,1,35.697467,-80.429741,698,14.1,75.0,402.0,0.683381088825
292,North Stanly High,1,0,0,1,35.427101,-80.212112,593,13.52,60.0,204.0,0.445193929174
293,North Stokes High,1,0,0,1,36.464788,-80.280069,432,12.56,36.0,163.0,0.460648148148
294,North Surry High,1,0,0,1,36.505243,-80.673278,910,16.28,91.0,407.0,0.547252747253
295,North Wilkes High,1,0,0,1,36.282614,-81.098724,736,16.36,0.0,723.0,0.982336956522
296,Northampton County High School,1,0,0,1,36.427675,-77.316466,524,13.24,0.0,516.0,0.984732824427
297,Northeast Guilford High,1,0,0,1,36.15857,-79.673037,1047,15.62,98.0,602.0,0.668576886342
298,Northeast Regional School - Biotech/Agri,3,0,1,0,35.810041,-76.897289,165,15.67,13.0,53.0,0.4
299,Northeastern High,1,0,0,1,36.288058,-76.252967,849,14.84,85.0,388.0,0.557126030624
300,Northern Guilford High,1,0,0,0,36.208981,-79.807032,1367,19.55,37.0,196.0,0.170446232626
301,Northern High,1,0,0,1,36.094068,-78.912479,1448,17.26,25.0,153.0,0.122928176796
302,Northern Nash High,1,0,0,1,35.998742,-77.891468,1119,18.37,106.0,442.0,0.489722966935
303,Northern Vance High,1,0,0,1,36.34989,-78.37854,925,15.16,0.0,922.0,0.996756756757
306,Northwest Cabarrus High,1,0,0,1,35.453406,-80.665407,1198,16.47,78.0,451.0,0.441569282137
307,Northwest Guilford High,1,0,0,0,36.154647,-79.953124,1983,20.35,42.0,217.0,0.130610186586
308,Northwest Halifax High,1,0,0,1,36.386845,-77.789656,468,13.03,0.0,456.0,0.974358974359
309,Northwest School of the Arts,1,1,0,1,35.257129,-80.856677,1019,17.27,61.0,364.0,0.417075564279
310,Northwood High,1,0,0,0,35.756814,-79.173374,1284,17.02,42.0,105.0,0.114485981308
311,NRM Early College High School,1,0,0,1,35.977713,-77.898834,251,24.49,20.0,93.0,0.450199203187
312,Ocracoke School,1,0,0,1,35.112153,-75.978434,160,8.0,0.0,0.0,0.0
313,Olympic High - Biotech Health Pub Admin,1,0,0,1,35.158257,-80.952964,521,19.67,51.0,251.0,0.579654510557
314,Olympic TEAM High School,1,0,0,1,35.158257,-80.952964,150,12.0,18.0,73.0,0.606666666667
315,Olympic High - Renaissance School,1,0,0,1,35.15786,-80.952408,548,18.93,44.0,215.0,0.472627737226
316,Olympic High-Leadership and Development,1,0,0,1,35.158257,-80.952964,608,18.22,66.0,305.0,0.610197368421
317,Olympic High-Math Eng Tech Science,1,0,0,1,35.158257,-80.952964,607,21.48,40.0,177.0,0.357495881384
318,Orange High,1,0,0,0,36.09287,-79.094704,1305,16.42,131.0,1273.0,1.07586206897
319,Overhills High,1,0,0,1,35.24539,-78.970331,1840,20.55,204.0,643.0,0.460326086957
320,Owen High,1,0,0,1,35.618887,-82.373743,779,14.83,74.0,304.0,0.485237483954
321,PACE Academy,1,0,1,1,35.90843,-79.089971,111,11.1,3.0,20.0,0.207207207207
322,Page High,1,0,0,1,36.109396,-79.78507,2067,20.9,91.0,875.0,0.467343976778
323,Paisley IB Magnet School,1,1,0,1,36.113253,-80.260151,770,15.02,33.0,411.0,0.576623376623
324,Pamlico County High,1,0,0,1,35.142568,-76.779219,475,11.54,0.0,472.0,0.993684210526
325,Panther Creek High,1,0,0,0,35.830904,-78.88912,2893,20.59,88.0,253.0,0.117870722433
326,Parkland High,1,0,0,1,36.057008,-80.257067,1359,16.04,79.0,913.0,0.729948491538
327,Parkwood High,1,0,0,1,34.902136,-80.631876,1006,17.5,80.0,297.0,0.374751491054
328,Pasquotank County High,1,0,0,1,36.364359,-76.275388,773,15.82,77.0,362.0,0.567917205692
329,Pender Early College High,1,0,0,1,34.54374,-77.922781,226,18.83,18.0,81.0,0.438053097345
330,Pender High,1,0,0,1,34.545859,-78.012328,642,16.17,50.0,388.0,0.682242990654
331,Penn-Griffin Schools,1,1,0,1,35.963725,-79.996448,697,13.95,44.0,373.0,0.598278335725
334,Perquimans County High,1,0,0,1,36.184421,-76.474364,521,13.4,54.0,229.0,0.543186180422
335,Person High,1,0,0,1,36.411139,-78.981009,1351,15.96,89.0,623.0,0.527017024426
336,Philip J Weaver Ed Center,1,0,0,0,36.070205,-79.798371,268,6.06,7.0,30.0,0.138059701493
337,Phillip O Berry Academy of Technology,1,1,0,1,35.239231,-80.891683,1714,19.22,164.0,973.0,0.663360560093
338,Piedmont Community Charter School,1,0,1,1,35.23658,-81.115131,1225,16.64,0.0,110.0,0.0897959183673
339,Piedmont High,1,0,0,0,35.095526,-80.491614,1244,18.88,48.0,234.0,0.226688102894
340,Pine Forest High,1,0,0,1,35.154703,-78.886659,1589,17.12,137.0,736.0,0.549402139711
341,Pine Lake Preparatory,1,0,1,0,35.53541,-80.846326,1678,16.57,0.0,0.0,0.0
342,Pinecrest High,1,0,0,0,35.184846,-79.434589,2149,20.17,97.0,610.0,0.328990228013
343,Pisgah High,1,0,0,1,35.521533,-82.841645,1013,15.07,64.0,389.0,0.447186574531
344,Plymouth High,1,0,0,1,35.870311,-76.738687,359,13.3,34.0,132.0,0.462395543175
345,Polk County Early College,1,0,0,1,35.265258,-82.185298,63,19.38,5.0,21.0,0.412698412698
346,Polk County High School,1,0,0,1,35.265613,-82.18517,669,12.39,52.0,234.0,0.427503736921
347,Porter Ridge High School,1,0,0,0,35.090563,-80.573888,1591,20.4,91.0,382.0,0.297297297297
348,Princeton High,1,0,0,1,35.46805,-78.157301,960,15.19,65.0,416.0,0.501041666667
349,Providence Grove High,1,0,0,1,35.850226,-79.713626,824,16.16,47.0,275.0,0.390776699029
350,Providence High,1,0,0,0,35.110344,-80.763887,1991,21.02,40.0,160.0,0.100452034154
351,PSRC Early College at RCC,1,0,0,1,34.675854,-79.007431,198,17.07,0.0,0.0,0.0
352,Purnell Swett High,1,0,0,1,34.696479,-79.245787,1799,18.9,0.0,1796.0,0.998332406893
353,Quality Education Academy,1,0,1,1,36.15115,-80.21101,478,17.75,0.0,470.0,0.983263598326
354,Queen's Grant Community School,1,0,1,1,35.16588,-80.662061,1213,17.45,48.0,161.0,0.17230008244
355,R J Reynolds High,1,0,0,1,36.10163,-80.265309,1828,20.19,80.0,759.0,0.458971553611
356,R-S Central High School,1,0,0,1,35.328801,-81.952721,885,14.84,0.0,881.0,0.995480225989
357,Raleigh Charter High School,1,0,1,0,35.79605,-78.647481,559,13.36,0.0,0.0,0.0
358,Randleman High,1,0,0,1,35.82439,-79.82275,957,17.13,69.0,460.0,0.55276907001
359,Randolph Early College High,1,0,0,1,35.67276,-79.828523,312,26.0,21.0,108.0,0.413461538462
360,Red Springs High,1,0,0,1,34.822956,-79.185736,761,15.5,0.0,756.0,0.993429697766
361,Reid Ross Classical High,1,0,0,1,35.102386,-78.876699,320,7.21,36.0,138.0,0.54375
362,Reidsville High,1,0,0,1,36.329706,-79.675473,785,13.92,0.0,775.0,0.987261146497
363,Reynolds High,1,0,0,1,35.546793,-82.477085,1348,17.1,109.0,448.0,0.413204747774
365,Richmond Early College High,1,0,0,1,34.902622,-79.712861,214,21.4,12.0,100.0,0.523364485981
366,Richmond Senior High,1,0,0,1,34.95605,-79.704291,1436,17.07,106.0,785.0,0.620473537604
367,River Mill Academy,1,0,1,1,36.04391,-79.393922,666,18.59,31.0,123.0,0.231231231231
369,Roanoke Valley Early College,1,0,0,1,36.42703,-77.615101,183,22.88,0.0,180.0,0.983606557377
370,Robbinsville High,1,0,0,1,35.329376,-83.797033,381,12.59,41.0,171.0,0.556430446194
371,Roberson High,1,0,0,1,35.485946,-82.535064,1591,16.93,83.0,493.0,0.36203645506
372,Robert B Glenn High School,1,0,0,1,36.067836,-80.113797,1640,17.52,84.0,735.0,0.499390243902
373,Robert L. Patton High School,1,0,0,1,35.702947,-81.669989,1017,19.06,113.0,348.0,0.453294001967
374,Rockingham Co Early College High,1,0,0,1,36.397037,-79.765214,309,24.72,0.0,306.0,0.990291262136
375,Rockingham County High,1,0,0,1,36.385825,-79.740072,1082,17.9,0.0,1068.0,0.987060998152
376,Rocky Mount High,1,0,0,1,35.93903,-77.834861,1280,17.95,82.0,760.0,0.6578125
377,Rocky Mount Preparatory,1,0,1,1,36.015609,-77.779184,1278,22.62,166.0,751.0,0.717527386541
378,Rocky River High,1,0,0,1,35.214252,-80.640044,1710,18.99,143.0,972.0,0.652046783626
379,Rolesville High,1,0,0,1,35.906782,-78.442129,1200,17.27,97.0,421.0,0.431666666667
380,Ronald W Reagan High School,1,0,0,0,36.170305,-80.365156,1818,19.88,43.0,250.0,0.161166116612
381,Rosewood High,1,0,0,1,35.416395,-78.07578,541,15.53,34.0,166.0,0.369685767098
382,Rosman High,1,0,0,1,35.143267,-82.820547,356,12.12,39.0,155.0,0.544943820225
383,Rowan Co Early College,1,0,0,1,35.641639,-80.477842,225,30.0,24.0,116.0,0.622222222222
384,Roxboro Community School,1,0,1,1,36.392617,-78.979302,704,14.98,5.0,52.0,0.0809659090909
385,Rutherford Early College High School,1,0,0,1,35.35818,-81.92497,169,28.17,0.0,166.0,0.98224852071
388,Saint Pauls High,1,0,0,1,34.8122,-78.9773,957,15.41,0.0,942.0,0.984326018809
389,Saint Stephens High,1,0,0,1,35.772116,-81.269091,1257,17.66,88.0,489.0,0.459029435163
390,Salisbury High,1,0,0,1,35.664761,-80.484917,813,14.07,23.0,67.0,0.110701107011
391,Sampson Early College High,1,0,0,1,34.990867,-78.358889,246,23.43,21.0,134.0,0.630081300813
392,Sanderson High,1,0,0,0,35.861057,-78.647282,2002,18.02,85.0,585.0,0.334665334665
393,SandHoke Early College High,1,0,0,1,34.97656,-79.205471,318,28.91,29.0,128.0,0.493710691824
394,School of Inquiry and Life Sciences,1,0,0,0,35.572668,-82.552301,299,21.01,9.0,55.0,0.214046822742
395,Scotland Early College High,1,0,0,1,34.74368,-79.480121,217,27.13,0.0,214.0,0.986175115207
396,Scotland High School,1,0,0,1,34.778916,-79.47741,1581,16.73,0.0,1578.0,0.998102466793
397,Seventy-First High,1,0,0,1,35.039171,-79.005464,1635,17.05,129.0,881.0,0.617737003058
398,Shelby High,1,0,0,1,35.274469,-81.538391,829,12.66,45.0,459.0,0.607961399276
399,Smithfield-Selma High,1,0,0,1,35.529436,-78.323643,1249,14.88,56.0,770.0,0.661329063251
400,Smoky Mountain High,1,0,0,1,35.353092,-83.19837,839,14.64,76.0,306.0,0.455303933254
401,South Brunswick High,1,0,0,1,34.011259,-78.042734,1098,15.45,64.0,384.0,0.408014571949
402,South Caldwell High,1,0,0,1,35.821653,-81.450794,1618,15.22,153.0,534.0,0.424598269468
403,South Central High,1,0,0,1,35.5411,-77.42859,1628,17.51,65.0,675.0,0.454545454545
404,South Columbus High,1,0,0,1,34.1732,-78.814931,785,18.26,33.0,341.0,0.476433121019
405,South Creek High,1,0,0,1,35.856714,-77.243489,323,10.68,0.0,320.0,0.990712074303
406,South Davidson High,1,0,0,1,35.67292,-80.104271,439,13.97,28.0,196.0,0.510250569476
407,South Iredell High,1,0,0,0,35.717305,-80.909988,1505,16.19,105.0,285.0,0.259136212625
408,South Johnston High,1,0,0,1,35.410114,-78.50083,1200,15.56,44.0,523.0,0.4725
409,South Lenoir High,1,0,0,0,35.145746,-77.704343,789,15.8,0.0,774.0,0.980988593156
410,South Mecklenburg High,1,0,0,1,35.109355,-80.860978,2913,19.7,161.0,1157.0,0.452454514246
411,South Point High,1,0,0,0,35.222923,-81.038678,1101,17.84,64.0,286.0,0.317892824705
412,South Robeson High,1,0,0,1,34.54587,-79.24285,484,10.8,0.0,476.0,0.98347107438
413,South Rowan High,1,0,0,1,35.573137,-80.609972,970,15.93,73.0,422.0,0.510309278351
414,South Stanly High,1,0,0,1,35.23098,-80.163951,429,12.73,34.0,168.0,0.470862470862
415,South Stokes High,1,0,0,1,36.326262,-80.24005,633,12.23,38.0,229.0,0.421800947867
416,South View High,1,0,0,1,34.978088,-78.926605,1782,17.13,198.0,837.0,0.580808080808
417,Southeast Guilford High,1,0,0,1,35.972649,-79.697813,1410,16.83,100.0,409.0,0.360992907801
418,Southeast Halifax High,1,0,0,1,36.219311,-77.550876,336,12.92,0.0,331.0,0.985119047619
419,Southeast Raleigh High,1,1,0,1,35.745629,-78.604002,1538,13.91,130.0,759.0,0.578023407022
420,Southern Guilford High,1,0,0,1,35.95123,-79.85445,1128,16.25,96.0,654.0,0.664893617021
421,Southern High,1,0,0,1,36.00221,-79.40861,1545,19.31,50.0,212.0,0.169579288026
422,Southern Lee High School,1,0,0,1,35.434888,-79.185529,1179,15.53,81.0,586.0,0.565733672604
423,Southern Nash High,1,0,0,1,35.851079,-78.087413,1189,18.08,94.0,594.0,0.578637510513
424,Southern School of Energy and Sustainabi,1,0,0,1,35.999879,-78.829051,1292,14.32,79.0,749.0,0.640866873065
425,Southern Vance High,1,0,0,1,36.303335,-78.374364,834,15.44,0.0,825.0,0.989208633094
426,Southern Wake Academy,1,0,1,0,35.61277,-78.819191,306,11.77,15.0,6.0,0.0686274509804
427,Southern Wayne High,1,0,0,1,35.253639,-78.045238,1120,16.08,64.0,665.0,0.650892857143
428,Southside High,1,0,0,1,35.446222,-77.057229,444,13.33,44.0,252.0,0.666666666667
429,SouthWest Edgecombe High,1,0,0,1,35.83993,-77.66129,847,16.86,0.0,841.0,0.992916174734
430,Southwest Guilford High,1,0,0,1,36.046697,-79.988828,1527,18.1,91.0,516.0,0.39751146038
431,Southwest High,1,0,0,1,34.74922,-77.481951,664,15.81,3.0,11.0,0.0210843373494
432,Southwestern Randolph High,1,0,0,1,35.62664,-79.86883,1117,16.98,93.0,468.0,0.502238137869
433,Spring Creek High,1,0,0,1,35.226763,-77.897801,1038,16.74,54.0,95.0,0.143545279383
434,Stanly Early College High,1,0,0,1,35.33645,-80.233681,204,26.84,26.0,79.0,0.514705882353
435,Starmount High,1,0,0,1,36.182935,-80.771569,631,15.18,51.0,230.0,0.445324881141
436,Statesville High,1,0,0,1,35.792659,-80.892019,1029,15.35,68.0,539.0,0.589893100097
438,Stokes Early College,1,0,0,1,36.37409,-80.181451,146,17.18,18.0,47.0,0.445205479452
439,Stuart W Cramer High,1,0,0,1,35.24652,-81.063191,782,17.13,54.0,265.0,0.407928388747
440,Sun Valley High,1,0,0,1,35.046059,-80.644768,1306,17.13,3.0,397.0,0.306278713629
441,Surry Central High,1,0,0,1,36.381762,-80.715175,801,17.04,74.0,365.0,0.548064918851
442,Surry Early College,1,0,0,1,36.38489,-80.715421,366,34.86,26.0,163.0,0.516393442623
443,Swansboro High,1,0,0,0,34.698222,-77.15444,1067,16.29,59.0,275.0,0.313027179007
444,T Wingate Andrews High,1,1,0,1,35.985404,-79.990014,871,13.63,0.0,865.0,0.993111366246
445,Tarboro High,1,0,0,1,35.90109,-77.55684,589,15.5,0.0,586.0,0.994906621392
446,Terry Sanford High,1,0,0,1,35.065155,-78.915747,1266,17.62,48.0,524.0,0.451816745656
448,The Academy at Smith,1,0,0,1,36.034809,-79.847021,224,14.12,25.0,125.0,0.669642857143
449,The Hawbridge School,1,0,1,0,35.946619,-79.318981,239,12.08,13.0,0.0,0.0543933054393
451,The North Carolina Leadership Academy,1,0,1,0,36.046499,-80.112718,534,17.45,13.0,24.0,0.0692883895131
452,The School for Creative Studies,1,0,0,1,36.072007,-78.822916,449,12.9,34.0,175.0,0.465478841871
453,Thomas Jefferson Class Academy,1,0,1,0,35.272252,-81.794303,1303,16.22,62.0,114.0,0.135072908672
454,Thomasville High,1,0,0,1,35.900127,-80.076063,700,14.81,0.0,671.0,0.958571428571
455,Topsail High,1,0,0,0,34.395709,-77.681587,1255,18.91,60.0,220.0,0.223107569721
456,Tri-County Early College High,1,0,0,1,35.067838,-83.965117,132,18.86,10.0,33.0,0.325757575758
457,Triad Math and Science Academy,1,0,1,1,36.03014,-79.809571,1106,15.4,76.0,440.0,0.466546112116
458,Trinity High,1,0,0,1,35.894008,-79.997579,766,17.63,39.0,303.0,0.446475195822
459,Triton High,1,0,0,1,35.338325,-78.6648,1308,16.67,86.0,652.0,0.564220183486
460,Tuscola High,1,0,0,1,35.522854,-82.951329,1013,14.94,49.0,357.0,0.400789733465
463,Union County Early College,1,0,0,1,35.031163,-80.62049,343,24.77,38.0,103.0,0.411078717201
465,Union Pines High,1,0,0,0,35.31723,-79.34863,1323,19.13,65.0,362.0,0.322751322751
466,Uwharrie Charter Academy,1,0,1,0,35.691832,-79.832822,318,15.81,44.0,52.0,0.301886792453
467,Vance Co Early College,1,0,0,1,36.322544,-78.48863,229,25.44,0.0,226.0,0.986899563319
468,Vance High,1,0,0,1,35.300403,-80.769214,1714,18.81,0.0,3.0,0.00175029171529
469,Vernon Malone College and Career Academy,1,0,0,1,35.75226,-78.644081,130,12.38,9.0,41.0,0.384615384615
471,Voyager Academy,1,0,1,1,36.04563,-78.89602,1350,13.73,0.0,252.0,0.186666666667
472,Wake Early College of Health and Science,1,0,0,0,35.784475,-78.585294,309,22.89,24.0,71.0,0.307443365696
473,Wake Forest High School,1,0,0,0,35.985147,-78.515849,1953,18.34,97.0,453.0,0.281618023554
474,Wake Young Men's Leadership Academy,1,0,0,1,35.77862,-78.629471,247,12.34,25.0,60.0,0.344129554656
475,Wake Young Women's Leadership Academy,1,0,0,0,35.77823,-78.659291,281,12.6,19.0,74.0,0.330960854093
476,Wakefield High,1,0,0,0,35.947346,-78.570376,2387,18.08,14.0,17.0,0.012987012987
477,Walkertown High,1,0,0,1,36.17505,-80.146841,738,17.09,54.0,301.0,0.481029810298
478,Wallace-Rose Hill High,1,0,0,1,34.771222,-77.999705,667,17.17,50.0,383.0,0.649175412294
479,Walter M Williams High,1,0,0,1,36.088052,-79.453662,1192,18.44,62.0,587.0,0.544463087248
480,Warren County High,1,0,0,1,36.432685,-78.165439,415,13.62,0.0,412.0,0.992771084337
481,Warren Early College High,1,0,0,1,36.402469,-78.155132,132,18.59,0.0,129.0,0.977272727273
482,Warren New Tech High,1,0,0,1,36.433881,-78.174492,202,14.85,0.0,199.0,0.985148514851
484,Watauga High,1,0,0,0,36.215934,-81.650459,1365,13.41,91.0,321.0,0.301831501832
485,Wayne Early / Middle College High,1,0,0,1,35.40553,-77.944371,256,21.33,17.0,83.0,0.390625
486,Wayne School of Engineering,1,0,0,0,35.38639,-77.980531,449,18.34,13.0,109.0,0.271714922049
487,Weddington High,1,0,0,0,35.00477,-80.725001,1342,19.38,11.0,88.0,0.0737704918033
489,West Bladen High,1,0,0,1,34.639447,-78.741603,781,16.98,0.0,770.0,0.985915492958
490,West Brunswick High,1,0,0,1,33.980396,-78.409996,1360,15.5,71.0,519.0,0.433823529412
491,West Caldwell High,1,0,0,1,35.886674,-81.591703,900,13.99,101.0,508.0,0.676666666667
492,West Carteret High,1,0,0,1,34.737347,-76.78587,1215,15.28,79.0,360.0,0.361316872428
493,West Charlotte High,1,0,0,1,35.265904,-80.859596,1777,16.2,0.0,1770.0,0.99606077659
494,West Columbus High,1,0,0,1,34.32804,-78.924021,465,12.74,28.0,298.0,0.701075268817
495,West Craven High,1,0,0,1,35.23747,-77.138291,973,14.69,77.0,419.0,0.509763617677
496,West Davidson High,1,0,0,1,35.803349,-80.366349,792,17.02,58.0,294.0,0.444444444444
497,West Forsyth High,1,0,0,0,36.063257,-80.386402,2177,19.89,75.0,465.0,0.248047772164
498,West Henderson High,1,0,0,0,35.366243,-82.51518,1090,16.26,89.0,289.0,0.346788990826
499,West Iredell High,1,0,0,1,35.795296,-80.992185,918,16.13,87.0,382.0,0.510893246187
500,West Johnston High,1,0,0,0,35.522969,-78.537151,1359,16.22,63.0,338.0,0.295069904341
501,West Lincoln High,1,0,0,1,35.485245,-81.389653,919,16.7,84.0,400.0,0.526659412405
502,West Mecklenburg High,1,0,0,1,35.248774,-80.952396,2040,18.79,3.0,2028.0,0.995588235294
503,West Montgomery High,1,0,0,1,35.29646,-79.96151,572,15.26,41.0,289.0,0.576923076923
504,West Rowan High,1,0,0,1,35.699338,-80.643051,1089,16.62,92.0,449.0,0.496786042241
505,West Stanly High,1,0,0,1,35.2671,-80.345987,816,14.94,44.0,220.0,0.323529411765
506,West Stokes High,1,0,0,0,36.314095,-80.375825,977,15.44,86.0,272.0,0.366427840328
507,West Wilkes High,1,0,0,0,36.185682,-81.259651,689,15.57,0.0,679.0,0.985486211901
508,Western Alamance High,1,0,0,0,36.153129,-79.498292,1233,18.65,37.0,299.0,0.272506082725
509,Western Guilford High,1,0,0,1,36.08213,-79.90767,1308,18.77,79.0,525.0,0.461773700306
510,Western Harnett High,1,0,0,1,35.335987,-78.981064,1338,17.72,135.0,571.0,0.527653213752
511,Westover High,1,0,0,1,35.084355,-78.992249,1133,15.03,102.0,696.0,0.704324801412
512,Wheatmore High,1,0,0,1,35.82892,-80.007711,815,16.96,53.0,221.0,0.336196319018
513,White Oak High,1,0,0,0,34.768656,-77.348389,1088,17.84,76.0,277.0,0.324448529412
514,Whiteville High,1,0,0,1,34.334558,-78.706792,718,14.38,0.0,715.0,0.995821727019
515,Wilkes Central High,1,0,0,1,36.110032,-81.178481,865,15.66,0.0,862.0,0.996531791908
516,Wilkes Early College High,1,0,0,1,36.13551,-81.183711,243,27.0,0.0,240.0,0.987654320988
517,William Amos Hough High,1,0,0,0,35.46729,-80.827491,2453,20.43,56.0,337.0,0.160211985324
519,Wilmington Early College High,1,0,0,1,34.322732,-77.878835,189,20.88,16.0,68.0,0.444444444444
520,Wilson Early College Academy,1,0,0,1,35.72907,-77.895801,253,28.02,24.0,112.0,0.537549407115
521,Winston-Salem Preparatory Acad,1,1,0,1,36.110174,-80.221886,425,12.45,0.0,416.0,0.978823529412
522,Woods Charter,1,0,1,0,35.8155,-79.114,509,11.44,10.0,19.0,0.056974459725
523,Yadkin Early College,1,0,0,1,36.14799,-80.673674,213,27.99,19.0,87.0,0.49765258216
524,Yadkin Valley Regional Career Academy,1,0,0,1,35.817104,-80.188747,132,15.53,7.0,73.0,0.606060606061
