,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
24,North Carolina,Bessemer City High,119 YELLOW JACKET LANE,BESSEMER CITY,28016,1,0,0,1,4-Eligible for Title I SWP provides no program,35.297240,-81.281434,9th Grade,12th Grade,1,1,1,1,646,646,45.0,46.6,26.5
25,North Carolina,Blue Ridge Early College,95 BOBCAT DR,CASHIERS,28717,1,0,0,1,4-Eligible for Title I SWP provides no program,35.128613,-83.120512,7th Grade,13th Grade,1,1,1,1,177,113,37.5,52.6,18.2
26,North Carolina,Brevard High,609 COUNTRY CLUB RD,BREVARD,28712,1,0,0,1,4-Eligible for Title I SWP provides no program,35.217205,-82.735576,9th Grade,12th Grade,1,1,1,1,725,725,62.9,69.2,54.0
27,North Carolina,Brunswick County Early College,50 COLLEGE ROAD NE,BOLIVIA,28422,1,0,0,1,4-Eligible for Title I SWP provides no program,34.038129,-78.229837,9th Grade,13th Grade,1,1,1,1,341,270,87.5,95.0,94.7
28,North Carolina,Early College,340 VICTORIA ROAD,ASHEVILLE,28801,1,0,0,1,4-Eligible for Title I SWP provides no program,35.570728,-82.555976,9th Grade,13th Grade,1,1,1,1,266,224,93.1,94.8,83.9
29,North Carolina,Bunker Hill High,4675 OXFORD SCHOOL ROAD,CLAREMONT,28610,1,0,0,1,4-Eligible for Title I SWP provides no program,35.742030,-81.111320,9th Grade,12th Grade,1,1,1,1,936,936,49.4,54.5,37.8
30,North Carolina,Bunn High,29 BUNN ELEM SCHOOL ROAD,BUNN,27508,1,0,0,1,1-Eligible for Title I TAS provides no program,35.954127,-78.249753,9th Grade,12th Grade,1,1,1,1,861,861,38.2,45.7,57.3
31,North Carolina,Burns High,307 E STAGECOACH TRAIL,LAWNDALE,28090,1,0,0,1,4-Eligible for Title I SWP provides no program,35.420092,-81.532265,9th Grade,12th Grade,1,1,1,1,1084,1084,43.0,55.2,51.3
32,North Carolina,Butler High,1810 MATTHEWS-MINT HILL RD,MATTHEWS,28105,1,0,0,1,4-Eligible for Title I SWP provides no program,35.120282,-80.691593,9th Grade,12th Grade,1,1,1,1,2081,2081,73.9,71.4,63.7
33,North Carolina,C E Jordan High,6806 GARRETT ROAD,DURHAM,27707,1,0,0,1,1-Eligible for Title I TAS provides no program,35.922669,-78.962157,9th Grade,12th Grade,1,1,1,1,1848,1848,56.0,60.7,37.8
