School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
BATTLEGROUND ELEMENTARY,North Carolina,13.51
BAUCOM ELEMENTARY,North Carolina,15.76
BEAR GRASS,North Carolina,13.79
BEARFIELD PRIMARY,North Carolina,16.43
BEAUFORT CO EARLY COLLEGE HIGH,North Carolina,37.83
BEAUFORT ELEMENTARY,North Carolina,12.80
BEAUFORT MIDDLE,North Carolina,11.65
BEAVER DAM ELEMENTARY,North Carolina,12.27
BEDDINGFIELD HIGH,North Carolina,15.03
BEE LOG ELEMENTARY,North Carolina,12.42
BELL ELEMENTARY,North Carolina,14.57
BELL FORK ELEMENTARY,North Carolina,14.20
BELMONT CENTRAL ELEMENTARY,North Carolina,19.24
BELMONT ELEMENTARY,North Carolina,14.91
BELMONT MIDDLE,North Carolina,18.22
BELVILLE ELEMENTARY,North Carolina,18.14
BELVOIR ELEMENTARY,North Carolina,14.13
BEN D QUINN ELEMENTARY,North Carolina,16.19
BEN L. SMITH HIGH SCHOOL,North Carolina,15.19
BENHAVEN ELEMENTARY,North Carolina,16.48
BENJAMIN J MARTIN ELEMENTARY,North Carolina,12.44
BENJAMIN T BULLOCK ELEM,North Carolina,17.73
BENNETT SCHOOL,North Carolina,14.41
BENSON ELEMENTARY,North Carolina,13.24
BENSON MIDDLE,North Carolina,13.75
BENTON HEIGHTS ELEMENTARY,North Carolina,10.79
BENVENUE ELEMENTARY,North Carolina,17.45
BEREWICK ELEMENTARY,North Carolina,15.59
BERRYHILL SCHOOL,North Carolina,13.49
BERTIE ACADEMY,North Carolina,6.07
BERTIE EARLY COLLEGE HIGH,North Carolina,18.33
BERTIE HIGH,North Carolina,12.65
BERTIE MIDDLE,North Carolina,17.22
BERTIE STEM HIGH,North Carolina,15.10
BESSEMER CITY CENTRAL ELEM,North Carolina,16.06
BESSEMER CITY HIGH,North Carolina,15.52
BESSEMER CITY MIDDLE,North Carolina,15.11
BESSEMER CITY PRIMARY,North Carolina,17.10
BESSEMER ELEMENTARY,North Carolina,13.28
BETHANY COMMUNITY MIDDLE,North Carolina,17.39
BETHANY ELEMENTARY,North Carolina,15.25
BETHEL ELEMENTARY,North Carolina,18.19
BETHEL ELEMENTARY,North Carolina,10.49
BETHEL ELEMENTARY,North Carolina,15.41
BETHEL ELEMENTARY,North Carolina,14.40
BETHEL HILL CHARTER,North Carolina,12.33
BETHEL MIDDLE,North Carolina,12.41
BETHESDA ELEMENTARY,North Carolina,15.36
BETHLEHEM ELEMENTARY,North Carolina,16.33
BETHWARE ELEMENTARY,North Carolina,15.70
BEULAVILLE ELEMENTARY,North Carolina,16.64
BEVERLY HILLS ELEMENTARY,North Carolina,14.68
BEVERLY WOODS ELEMENTARY,North Carolina,18.55
BILL HEFNER ELEMENTARY,North Carolina,16.81
BILLINGSVILLE ELEMENTARY,North Carolina,16.34
BLACK MOUNTAIN ELEMENTARY,North Carolina,13.47
BLACK MOUNTAIN PRIMARY,North Carolina,14.54
BLACKBURN ELEMENTARY,North Carolina,16.70
BLADEN LAKES PRIMARY,North Carolina,14.93
BLADENBORO MIDDLE,North Carolina,18.51
BLADENBORO PRIMARY,North Carolina,17.13
BLOWING ROCK ELEMENTARY,North Carolina,11.80
BLUE CREEK ELEMENTARY,North Carolina,13.66
BLUE RIDGE ACADEMY,North Carolina,6.29
BLUE RIDGE EARLY COLLEGE,North Carolina,16.43
BLUE RIDGE ELEMENTARY,North Carolina,12.63
BLUE RIDGE SCHOOL,North Carolina,12.62
BLUFORD ELEMENTARY,North Carolina,13.59
BLYTHE ELEMENTARY,North Carolina,15.35
BOGUE SOUND ELEMENTARY,North Carolina,13.06
BOILING SPRINGS ELEMENTARY,North Carolina,14.35
BOLIVIA ELEMENTARY,North Carolina,15.66
BOLTON ELEMENTARY,North Carolina,12.13
BONLEE SCHOOL,North Carolina,13.25
BOOMER-FERGUSON ELEMENTARY,North Carolina,14.31
BOONE TRAIL ELEMENTARY,North Carolina,17.34
BOONVILLE ELEMENTARY,North Carolina,13.17
BOSTIAN ELEMENTARY,North Carolina,14.36
BOWMAN MIDDLE,North Carolina,14.56
BRADFORD PREPARATORY,North Carolina,16.11
BRADLEY CREEK ELEMENTARY,North Carolina,14.87
BRAGG STREET ACADEMY,North Carolina,5.11
BRASSFIELD ELEMENTARY,North Carolina,16.60
BRAWLEY MIDDLE,North Carolina,18.02
BRAXTON CRAVEN MIDDLE,North Carolina,16.89
BRENTWOOD ELEMENTARY,North Carolina,11.97
BRENTWOOD ELEMENTARY,North Carolina,13.10
BREVARD ACADEMY,North Carolina,11.94
BREVARD ELEMENTARY,North Carolina,13.64
BREVARD HIGH,North Carolina,13.14
BREVARD MIDDLE,North Carolina,12.35
BRIARCLIFF ELEMENTARY,North Carolina,14.23
BRIARWOOD ELEMENTARY,North Carolina,15.30
BRIDGES ACADEMY,North Carolina,23.14
BRIDGES SCHOOL,North Carolina,6.80
BRIDGETON ELEMENTARY,North Carolina,15.07
BRIER CREEK ELEMENTARY,North Carolina,12.89
BRIER CREEK ELEMENTARY,North Carolina,15.89
BRIGHTWOOD ELEMENTARY,North Carolina,14.20
BRINSON MEMORIAL ELEMENTARY,North Carolina,14.58
BROAD CREEK MIDDLE,North Carolina,15.36
BROADVIEW MIDDLE,North Carolina,15.06
BROADWAY ELEMENTARY,North Carolina,15.59
BROGDEN MIDDLE,North Carolina,16.06
BROGDEN MIDDLE,North Carolina,14.02
BROGDEN PRIMARY,North Carolina,16.57
BROOKS ELEMENTARY,North Carolina,14.77
BROOKS GLOBAL ELEMENTARY,North Carolina,17.41
BROOKSIDE ELEMENTARY,North Carolina,16.16
BROWN SUMMIT MIDDLE,North Carolina,21.63
BRUCE DRYSDALE ELEMENTARY,North Carolina,14.29
BRUCE H THARRINGTON ELEM,North Carolina,14.44
BRUNS ACADEMY,North Carolina,14.88
BRUNSON ELEMENTARY,North Carolina,17.10
BRUNSWICK COUNTY ACADEMY,North Carolina,7.37
BRUNSWICK COUNTY EARLY COLLEGE,North Carolina,28.68
BRUSH CREEK ELEMENTARY,North Carolina,13.08
BUCKLAND ELEMENTARY,North Carolina,11.89
BUGG ELEMENTARY,North Carolina,13.12
BUIES CREEK ELEMENTARY,North Carolina,19.04
BUNCOMBE COUNTY EARLY COLLEGE,North Carolina,19.90
BUNCOMBE COUNTY MIDDLE COLLEGE,North Carolina,18.50
BUNCOMBE DISCOVERY ACADEMY (PROPOSED),North Carolina,18.18
BUNKER HILL HIGH,North Carolina,16.28
BUNN ELEMENTARY,North Carolina,14.50
BUNN HIGH,North Carolina,15.80
BUNN MIDDLE,North Carolina,17.17
BURGAW ELEMENTARY,North Carolina,16.50
BURGAW MIDDLE,North Carolina,14.81
BURKE MIDDLE COLLEGE,North Carolina,40.00
BURNS HIGH,North Carolina,14.03
BURNS MIDDLE,North Carolina,15.72
BURNSVILLE ELEMENTARY,North Carolina,15.23
BURTON ELEMENTARY,North Carolina,11.48
BUTLER AVENUE ELEMENTARY,North Carolina,15.68
BUTLER HIGH,North Carolina,19.46
BUTNER-STEM ELEMENTARY,North Carolina,17.72
BUTNER-STEM MIDDLE,North Carolina,17.18
C B ELLER ELEMENTARY,North Carolina,15.67
C B MARTIN MIDDLE,North Carolina,†
C C GRIFFIN MIDDLE,North Carolina,15.46
C C SPAULDING ELEMENTARY,North Carolina,12.86
C C WRIGHT ELEMENTARY,North Carolina,13.57
C E JORDAN HIGH,North Carolina,17.18
C JOYNER GREENE EDUCATION CENTER,North Carolina,5.79
C M EPPES MIDDLE,North Carolina,14.78
C WAYNE COLLIER ELEMENTARY,North Carolina,14.65
C. G. CREDLE ELEMENTARY,North Carolina,17.00
CABARRUS CHARTER ACADEMY,North Carolina,16.27
CABARRUS CO OPPORTUNITY SCHOOL,North Carolina,5.28
CABARRUS-KANNAPOLIS EARLY COLL,North Carolina,27.62
CALDWELL CAREER CEN MID. COLL.,North Carolina,12.94
CALDWELL CO GATEWAY SCH,North Carolina,3.71
CALDWELL EARLY COLLEGE,North Carolina,21.39
CALEB'S CREEK ELEMENTARY,North Carolina,18.22
CAMDEN COUNTY HIGH,North Carolina,14.18
CAMDEN INTERMEDIATE,North Carolina,16.49
CAMDEN MIDDLE,North Carolina,15.27
CAMERON ELEMENTARY,North Carolina,16.25
CAMERON PARK ELEMENTARY,North Carolina,14.39
CAMTECH HIGH,North Carolina,15.93
CANDLER ELEMENTARY,North Carolina,16.40
CANDOR ELEMENTARY,North Carolina,16.18
CANE CREEK MIDDLE,North Carolina,15.21
CANE RIVER MIDDLE,North Carolina,11.63
CANTON MIDDLE,North Carolina,14.81
CAPE FEAR CENTER FOR INQUIRY,North Carolina,14.57
CAPE FEAR ELEMENTARY,North Carolina,16.08
CAPE FEAR HIGH,North Carolina,16.38
CAPE FEAR MIDDLE,North Carolina,15.65
CAPE HATTERAS ELEMENTARY SCHOOL,North Carolina,13.00
CAPE HATTERAS SECONDARY SCHOOL,North Carolina,10.38
CARDINAL CHARTER,North Carolina,16.41
CAREER ACADEMY AND TECHNICAL SCHOOL,North Carolina,5.39
CAREER CENTER,North Carolina,–
CAREER TECHNICAL EDUCATION CENTER,North Carolina,–
CARL A FURR ELEMENTARY,North Carolina,15.01
CARMEL MIDDLE,North Carolina,17.99
CARNAGE MIDDLE,North Carolina,16.63
CAROLINA BEACH ELEMENTARY,North Carolina,17.30
CAROLINA FOREST ELEMENTARY,North Carolina,19.46
CAROLINA INTERNATIONAL SCHOOL,North Carolina,15.98
CAROLINA STEM ACADEMY,North Carolina,†
CARPENTER ELEMENTARY,North Carolina,15.15
CARR ELEMENTARY,North Carolina,15.83
CARRBORO ELEMENTARY,North Carolina,12.49
CARRBORO HIGH,North Carolina,14.51
CARROLL MIDDLE,North Carolina,14.19
CARSON HIGH,North Carolina,17.31
CARTER COMMUNITY CHARTER,North Carolina,17.93
CARTER G WOODSON SCHOOL,North Carolina,223.47
CARTER HIGH SCHOOL,North Carolina,4.14
CARTHAGE ELEMENTARY,North Carolina,14.84
CARTOOGECHAYE ELEMENTARY,North Carolina,15.48
CARVER ELEMENTARY,North Carolina,15.08
CARVER ELEMENTARY,North Carolina,13.79
CARVER ELEMENTARY,North Carolina,13.64
CARVER HEIGHTS ELEMENTARY,North Carolina,13.06
CARVER HIGH,North Carolina,13.60
CARVER MIDDLE,North Carolina,11.94
CARY ELEMENTARY,North Carolina,13.84
CARY HIGH,North Carolina,17.68
CASA ESPERANZA MONTESSORI CHARTER SCHOOL,North Carolina,21.56
CASAR ELEMENTARY,North Carolina,14.29
CASH ELEMENTARY,North Carolina,15.79
CASTLE HAYNE ELEMENTARY,North Carolina,15.82
CATAWBA ELEMENTARY SCHOOL,North Carolina,13.74
CATAWBA HEIGHTS ELEMENTARY,North Carolina,14.66
CATAWBA ROSENWALD EDUCATION CENTER,North Carolina,3.25
CATAWBA SPRINGS ELEMENTARY,North Carolina,15.39
CATO MIDDLE COLLEGE HIGH,North Carolina,28.65
CCCA - SOUTHEASTERN CAMPUS,North Carolina,26.05
CEASAR CONE ELEMENTARY,North Carolina,16.75
CEDAR CREEK MIDDLE,North Carolina,16.06
