School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
D.C. VIRGO  PREPARATORY ACADEMY,North Carolina,10.40
DABNEY ELEMENTARY,North Carolina,15.56
DALTON MCMICHAEL HIGH,North Carolina,17.74
DANA ELEMENTARY,North Carolina,14.42
DANIELS MIDDLE,North Carolina,17.08
DARE COUNTY ALTERNATIVE SCHOOL,North Carolina,3.45
DAVENPORT A+ SCHOOL,North Carolina,14.95
DAVID COX ROAD ELEMENTARY,North Carolina,16.80
DAVID D JONES ELEMENTARY,North Carolina,16.58
DAVIDSON COUNTY HIGH SCHOOL,North Carolina,7.27
DAVIDSON EARLY COLLEGE,North Carolina,24.43
DAVIDSON ELEMENTARY,North Carolina,18.68
DAVIDSON RIVER SCHOOL,North Carolina,10.53
DAVIE COUNTY EARLY COLLEGE HIGH,North Carolina,26.00
DAVIE COUNTY HIGH,North Carolina,16.89
DAVIS DRIVE ELEMENTARY,North Carolina,16.16
DAVIS DRIVE MIDDLE,North Carolina,19.30
DAVIS-TOWNSEND ELEMENTARY,North Carolina,17.56
DAWSON ELEMENTARY,North Carolina,14.20
DEEP BRANCH ELEMENTARY,North Carolina,17.57
DEEP RIVER ELEMENTARY,North Carolina,16.68
DENTON ELEMENTARY,North Carolina,15.00
DEVONSHIRE ELEMENTARY,North Carolina,16.13
DEYTON ELEMENTARY,North Carolina,13.64
DIGGS-LATHAM ELEMENTARY,North Carolina,11.65
DILLARD ACADEMY,North Carolina,22.44
DILLARD DRIVE ELEMENTARY,North Carolina,14.59
DILLARD DRIVE MIDDLE,North Carolina,16.56
DILLARD MIDDLE,North Carolina,14.66
DILWORTH ELEMENTARY,North Carolina,19.06
DISCOVERY HIGH SCHOOL,North Carolina,16.91
DISTRICT NO 7 ELEMENTARY,North Carolina,14.10
DIXON ELEMENTARY,North Carolina,17.30
DIXON HIGH,North Carolina,17.40
DIXON MIDDLE,North Carolina,17.00
DIXON ROAD ELEMENTARY,North Carolina,15.97
DOBSON ELEMENTARY,North Carolina,16.39
DOLE ELEMENTARY,North Carolina,15.08
DON D STEED ELEMENTARY,North Carolina,15.64
DONNA L LOFLIN ELEMENTARY,North Carolina,13.03
DORIS HENDERSON NEWCOMERS SCH,North Carolina,13.50
DOUGLAS BYRD HIGH,North Carolina,14.09
DOUGLAS BYRD MIDDLE,North Carolina,13.45
DOUGLAS ELEMENTARY,North Carolina,13.97
DOUGLASS ACADEMY,North Carolina,17.20
DOUGLASS ELEMENTARY,North Carolina,15.79
DPS HOSPITAL SCHOOL,North Carolina,2.81
DR HUBERT EATON SR ELEM,North Carolina,17.26
DR JOHN CODINGTON ELEM,North Carolina,17.37
DRAPER ELEMENTARY,North Carolina,12.67
DREXEL ELEMENTARY,North Carolina,16.41
DRUID HILLS ACADEMY,North Carolina,14.21
DUBLIN PRIMARY,North Carolina,15.64
DUDLEY SHOALS ELEMENTARY,North Carolina,16.70
DUNN MIDDLE,North Carolina,13.19
DUPLIN EARLY COLLEGE HIGH,North Carolina,25.71
DURANT ROAD ELEMENTARY,North Carolina,15.28
DURANT ROAD MIDDLE,North Carolina,15.85
DURHAM SCHOOL OF THE ARTS,North Carolina,15.59
DURHAM'S PERFORMANCE LEARNING CENTER,North Carolina,14.24
DYNAMIC COMMUNITY CHARTER,North Carolina,6.56
E B AYCOCK MIDDLE,North Carolina,14.20
E B FRINK MIDDLE,North Carolina,16.74
E E MILLER ELEMENTARY,North Carolina,14.13
E E SMITH HIGH,North Carolina,15.03
E E SMITH MIDDLE,North Carolina,16.40
E J HAYES ELEMENTARY,North Carolina,14.84
E K POWE ELEMENTARY,North Carolina,13.05
E LAWSON BROWN MIDDLE,North Carolina,16.51
E M ROLLINS ELEMENTARY,North Carolina,16.80
E M YODER ELEMENTARY,North Carolina,11.27
E MELVIN HONEYCUTT ELEMENTARY,North Carolina,15.78
E O YOUNG JR ELEMENTARY,North Carolina,12.36
EARLY COLLEGE AT GUILFORD,North Carolina,24.60
EARLY COLLEGE EAST HIGH,North Carolina,24.12
EARLY COLLEGE OF FORSYTH CO,North Carolina,23.44
EASLEY ELEMENTARY,North Carolina,15.89
EAST ALBEMARLE ELEMENTARY,North Carolina,15.22
EAST ALEXANDER MIDDLE,North Carolina,16.43
EAST ARCADIA ELEMENTARY,North Carolina,9.08
EAST BEND ELEMENTARY,North Carolina,12.93
EAST BLADEN HIGH,North Carolina,14.32
EAST BURKE HIGH,North Carolina,17.42
EAST BURKE MIDDLE,North Carolina,17.59
EAST CARTERET HIGH,North Carolina,13.90
EAST CARY MIDDLE,North Carolina,15.08
EAST CHAPEL HILL HIGH,North Carolina,16.47
EAST CLAYTON ELEMENTARY,North Carolina,14.22
EAST COLUMBUS HIGH,North Carolina,14.09
EAST DAVIDSON HIGH,North Carolina,17.26
EAST DUPLIN HIGH,North Carolina,18.14
EAST ELEMENTARY,North Carolina,10.00
EAST ELEMENTARY,North Carolina,13.82
EAST END ELEMENTARY,North Carolina,14.42
EAST FORSYTH HIGH,North Carolina,18.14
EAST FORSYTH MIDDLE SCHOOL,North Carolina,13.44
EAST FRANKLIN ELEMENTARY,North Carolina,14.92
EAST GARNER ELEMENTARY,North Carolina,15.54
EAST GARNER MIDDLE,North Carolina,16.40
EAST GASTON HIGH,North Carolina,16.67
EAST HENDERSON HIGH,North Carolina,14.64
EAST HOKE MIDDLE,North Carolina,16.33
EAST IREDELL ELEMENTARY,North Carolina,16.15
EAST IREDELL MIDDLE,North Carolina,14.76
EAST LEE MIDDLE,North Carolina,15.62
EAST LINCOLN HIGH,North Carolina,18.09
EAST LINCOLN MIDDLE,North Carolina,17.03
EAST MCDOWELL JUNIOR HIGH,North Carolina,15.73
EAST MECKLENBURG HIGH,North Carolina,16.52
EAST MIDDLE,North Carolina,16.92
EAST MILLBROOK MIDDLE,North Carolina,14.65
EAST MONTGOMERY HIGH,North Carolina,14.58
EAST MOORESVILLE INTERMEDIATE,North Carolina,18.87
EAST ROBESON PRIMARY,North Carolina,18.45
EAST ROCKINGHAM ELEMENTARY,North Carolina,16.11
EAST ROWAN HIGH,North Carolina,16.28
EAST RUTHERFORD HIGH SCHOOL,North Carolina,14.76
EAST RUTHERFORD MIDDLE SCHOOL,North Carolina,16.05
EAST SURRY HIGH,North Carolina,15.35
EAST UNION MIDDLE,North Carolina,15.26
EAST WAKE ACADEMY,North Carolina,15.65
EAST WAKE MIDDLE,North Carolina,15.65
EAST WAKE SCHOOL OF ARTS EDUCATION AND G,North Carolina,13.75
EAST WAKE SCHOOL OF ENGINEERING,North Carolina,14.65
EAST WAKE SCHOOL OF HEALTH SCIENCE,North Carolina,15.33
EAST WAKE SCHOOL OF INTEGRATED TECHNOLOG,North Carolina,14.01
EAST WILKES HIGH,North Carolina,16.53
EAST WILKES MIDDLE,North Carolina,15.47
EAST YANCEY MIDDLE,North Carolina,12.67
EASTERN ALAMANCE HIGH,North Carolina,18.97
EASTERN ELEMENTARY,North Carolina,14.89
EASTERN ELEMENTARY,North Carolina,13.53
EASTERN GUILFORD HIGH,North Carolina,15.88
EASTERN GUILFORD MIDDLE,North Carolina,15.18
EASTERN NC SCHOOL FOR THE DEAF,North Carolina,2.95
EASTERN RANDOLPH HIGH,North Carolina,16.60
EASTERN WAYNE ELEMENTARY,North Carolina,16.48
EASTERN WAYNE HIGH,North Carolina,15.01
EASTERN WAYNE MIDDLE,North Carolina,17.56
EASTFIELD GLOBAL MAGNET SCHOOL,North Carolina,12.26
EASTLAWN ELEMENTARY,North Carolina,12.70
EASTON ELEMENTARY SCHOOL,North Carolina,12.83
EASTOVER CENTRAL ELEMENTARY,North Carolina,13.37
EASTOVER ELEMENTARY,North Carolina,16.49
EASTWAY ELEMENTARY,North Carolina,14.14
EASTWAY MIDDLE,North Carolina,16.87
EATON-JOHNSON MIDDLE,North Carolina,10.86
EBLEN INTERMEDIATE,North Carolina,15.69
ED V BALDWIN ELEMENTARY,North Carolina,14.61
EDGECOMBE EARLY COLLEGE HIGH,North Carolina,19.25
EDGEWOOD CMTY DEVELOPMENTAL,North Carolina,7.91
EDGEWOOD ELEMENTARY,North Carolina,15.16
EDNA ANDREWS ELEMENTARY,North Carolina,15.00
EDNEYVILLE ELEMENTARY,North Carolina,14.46
EDWARD BEST ELEMENTARY,North Carolina,14.82
EDWARD D SADLER JR  ELEMENTARY SCHOOL,North Carolina,16.82
EDWIN A ALDERMAN ELEMENTARY,North Carolina,15.95
EDWIN A ALDERMAN ELEMENTARY,North Carolina,11.63
EDWIN A ANDERSON ELEMENTARY,North Carolina,16.69
EDWIN M HOLT ELEMENTARY,North Carolina,15.86
EFLAND CHEEKS ELEMENTARY,North Carolina,11.76
ELISE MIDDLE,North Carolina,10.52
ELIZABETH CITY MIDDLE,North Carolina,17.17
ELIZABETH LANE ELEMENTARY,North Carolina,17.86
ELIZABETH M CASHWELL ELEMENTARY,North Carolina,14.51
ELIZABETH TRADITIONAL ELEMENTARY,North Carolina,16.15
ELIZABETHTOWN MIDDLE,North Carolina,16.78
ELIZABETHTOWN PRIMARY,North Carolina,14.76
ELKIN ELEMENTARY,North Carolina,15.52
ELKIN HIGH,North Carolina,13.25
ELKIN MIDDLE,North Carolina,13.82
ELLENBORO ELEMENTARY SCHOOL,North Carolina,16.81
ELLENDALE ELEMENTARY,North Carolina,16.15
ELLERBE MIDDLE,North Carolina,14.93
ELM CITY ELEMENTARY,North Carolina,15.82
ELM CITY MIDDLE,North Carolina,17.46
ELMHURST ELEMENTARY,North Carolina,14.98
ELON ELEMENTARY,North Carolina,16.85
ELON PARK ELEMENTARY,North Carolina,17.84
EMMA B TRASK MIDDLE,North Carolina,16.13
EMMA ELEMENTARY,North Carolina,14.83
EMSLEY A LANEY HIGH,North Carolina,18.17
ENDEAVOR CHARTER,North Carolina,14.63
ENDHAVEN ELEMENTARY,North Carolina,17.28
ENDY ELEMENTARY,North Carolina,13.61
ENFIELD MIDDLE,North Carolina,12.55
ENGLEWOOD ELEMENTARY,North Carolina,19.19
ENKA HIGH,North Carolina,17.07
ENKA MIDDLE,North Carolina,15.86
ENO VALLEY ELEMENTARY,North Carolina,13.60
ENOCHVILLE ELEMENTARY,North Carolina,14.58
ENTREPRENEUR HIGH SCHOOL,North Carolina,10.80
ENVISION SCIENCE ACADEMY,North Carolina,12.68
EP PEARCE ELEMENTARY,North Carolina,18.59
EPHESUS ELEMENTARY,North Carolina,12.21
ERWIN ELEMENTARY,North Carolina,16.97
ERWIN HIGH,North Carolina,16.65
ERWIN MIDDLE,North Carolina,14.37
ERWIN MIDDLE,North Carolina,17.41
ERWIN MONTESSORI,North Carolina,15.98
ESTES ELEMENTARY,North Carolina,14.75
ESTES HILLS ELEMENTARY,North Carolina,11.80
ETOWAH ELEMENTARY,North Carolina,16.33
EUGENE ASHLEY HIGH,North Carolina,18.86
EVERETTS ELEMENTARY,North Carolina,20.79
EVERGREEN COMMUNITY CHARTER,North Carolina,15.45
EVERGREEN ELEMENTARY,North Carolina,15.95
EXCELSIOR CLASSICAL ACADEMY,NORTH CAROLINA,†
EXPLORIS MIDDLE SCHOOL,North Carolina,13.50
FAIR GROVE ELEMENTARY,North Carolina,15.96
FAIRGROVE MIDDLE,North Carolina,11.80
FAIRMONT HIGH,North Carolina,13.88
FAIRMONT MIDDLE,North Carolina,12.16
FAIRVIEW ELEMENTARY,North Carolina,17.85
FAIRVIEW ELEMENTARY,North Carolina,15.58
FAIRVIEW ELEMENTARY,North Carolina,18.77
FAIRVIEW ELEMENTARY,North Carolina,11.98
FAIRVIEW ELEMENTARY,North Carolina,20.00
FAIRVIEW HEIGHTS ELEMENTARY,North Carolina,14.36
FAITH ELEMENTARY,North Carolina,15.96
FALKLAND ELEMENTARY,North Carolina,13.82
FALL CREEK ELEMENTARY,North Carolina,16.16
FALLS LAKE ACADEMY,North Carolina,16.94
FALLSTON ELEMENTARY,North Carolina,15.49
FARMER ELEMENTARY,North Carolina,15.62
FARMINGTON WOODS ELEMENTARY,North Carolina,14.99
FARMVILLE CENTRAL HIGH,North Carolina,15.76
FARMVILLE MIDDLE,North Carolina,16.79
FAYETTEVILLE STREET ELEMENTARY,North Carolina,12.39
FERGUSON-EASLEY ELEMENTARY,North Carolina,12.18
FERNDALE MIDDLE,North Carolina,17.06
FIKE HIGH,North Carolina,18.52
FIRST FLIGHT ELEMENTARY SCHOOL,North Carolina,13.58
FIRST FLIGHT HIGH SCHOOL,North Carolina,13.85
FIRST FLIGHT MIDDLE SCHOOL,North Carolina,13.94
FIRST WARD ARTS ELEMENTARY,North Carolina,14.42
FLAT ROCK ELEMENTARY,North Carolina,13.64
FLAT ROCK MIDDLE,North Carolina,14.07
FLAT ROCK MIDDLE,North Carolina,14.38
FLEMINGTON ACADEMY,North Carolina,6.03
FLETCHER ELEMENTARY,North Carolina,15.71
FLORENCE ELEMENTARY,North Carolina,18.09
FLOYD L KNIGHT CHILDREN CENTER,North Carolina,8.77
FORBUSH ELEMENTARY,North Carolina,17.03
FORBUSH HIGH,North Carolina,15.40
FORBUSH MIDDLE,North Carolina,16.80
FOREST CITY-DUNBAR ELEMENTARY SCHOOL,North Carolina,15.69
FOREST HEIGHTS ELEMENTARY,North Carolina,16.84
FOREST HILL ELEMENTARY,North Carolina,15.87
FOREST HILLS GLOBAL ELEMENTARY,North Carolina,13.56
FOREST HILLS HIGH,North Carolina,14.86
FOREST HILLS MIDDLE,North Carolina,17.61
FOREST PARK ELEMENTARY,North Carolina,14.15
FOREST PARK ELEMENTARY,North Carolina,15.06
FOREST PINES ELEMENTARY,North Carolina,14.64
FOREST VIEW ELEMENTARY,North Carolina,13.97
FORESTVIEW HIGH,North Carolina,17.94
FORESTVILLE ROAD ELEMENTARY,North Carolina,13.64
FORREST W HUNT ELEMENTARY SCHOOL,North Carolina,16.58
FORSYTH ACADEMY,North Carolina,20.19
FOUR OAKS ELEMENTARY,North Carolina,13.99
FOUR OAKS MIDDLE,North Carolina,15.61
FOX ROAD ELEMENTARY,North Carolina,13.32
FPG ELEMENTARY,North Carolina,13.07
FRANCINE DELANY NEW SCHOOL,North Carolina,12.15
FRANCIS BRADLEY MIDDLE,North Carolina,19.05
FRANCISCO ELEMENTARY,North Carolina,14.94
FRANK MORGAN ELEMENTARY,North Carolina,16.55
FRANKLIN ACADEMY,North Carolina,15.08
FRANKLIN COUNTY EARLY COLLEGE,North Carolina,28.67
FRANKLIN ELEMENTARY,North Carolina,15.13
FRANKLIN HIGH,North Carolina,14.99
FRANKLINTON ELEMENTARY,North Carolina,13.27
FRANKLINTON HIGH,North Carolina,17.85
FRANKLINTON MIDDLE,North Carolina,16.88
FRANKLINVILLE ELEMENTARY,North Carolina,13.93
FRED A ANDERSON ELEMENTARY,North Carolina,12.32
FRED L WILSON ELEMENTARY,North Carolina,13.76
FRED T FOARD HIGH,North Carolina,17.08
FREEDOM HIGH,North Carolina,17.98
FREEDOM TRAIL ELEMENTARY,North Carolina,13.44
FREMONT STARS ELEMENTARY,North Carolina,12.75
FRIEDBERG ELEMENTARY,North Carolina,18.18
FRIENDSHIP ELEMENTARY,North Carolina,17.77
FULLER ELEMENTARY,North Carolina,12.50
FUQUAY-VARINA ELEMENTARY,North Carolina,15.56
FUQUAY-VARINA HIGH,North Carolina,18.57
FUQUAY-VARINA MIDDLE,North Carolina,14.77
G R EDWARDS MIDDLE,North Carolina,16.51
G R WHITFIELD,North Carolina,15.20
G W BULLUCK ELEMENTARY,North Carolina,16.29
G W CARVER ELEMENTARY,North Carolina,16.37
G. C. HAWLEY MIDDLE,North Carolina,19.84
GALLBERRY FARM ELEMENTARY,North Carolina,15.91
GAMEWELL ELEMENTARY,North Carolina,15.69
GAMEWELL MIDDLE,North Carolina,14.43
GARDNER PARK ELEMENTARY,North Carolina,18.11
GARDNERS ELEMENTARY,North Carolina,15.05
GARINGER HIGH,North Carolina,16.49
GARNER HIGH,North Carolina,18.16
GARRETT ELEMENTARY,North Carolina,15.74
GASTON COLLEGE PREPARATORY,North Carolina,16.92
GASTON EARLY COLLEGE HIGH SCHOOL,North Carolina,20.61
GASTON ELEMENTARY,North Carolina,14.22
GASTON MIDDLE,North Carolina,11.76
GATES COUNTY SENIOR HIGH,North Carolina,12.07
GATESVILLE ELEMENTARY,North Carolina,12.75
GATEWAY EDUCATION CENTER,North Carolina,4.39
GC MIDDLE COLLEGE HIGH,North Carolina,17.73
GE MASSEY ELEMENTARY,North Carolina,12.10
GENERAL GREENE ELEMENTARY,North Carolina,17.09
GENTRY PRIMARY,North Carolina,15.07
GEORGE C. SIMKINS JR. ELEMENTARY,North Carolina,17.36
GEORGE HILDEBRAND ELEMENTARY,North Carolina,17.04
GEORGE L CARRINGTON MIDDLE,North Carolina,15.03
GEORGE WATTS ELEMENTARY,North Carolina,14.40
GERMANTON ELEMENTARY,North Carolina,16.68
GIBSON ELEMENTARY,North Carolina,13.93
GIBSONVILLE ELEMENTARY,North Carolina,18.47
GILLESPIE PARK ELEMENTARY,North Carolina,13.69
GLADE CREEK ELEMENTARY,North Carolina,11.92
GLEN ALPINE ELEMENTARY,North Carolina,16.30
GLEN ARDEN ELEMENTARY,North Carolina,14.62
GLENDALE ACRES ELEMENTARY,North Carolina,12.45
GLENDALE-KENLY ELEMENTARY,North Carolina,14.30
GLENN C MARLOW ELEMENTARY,North Carolina,14.64
GLENN ELEMENTARY,North Carolina,14.00
GLENWOOD ELEMENTARY,North Carolina,15.08
GLENWOOD ELEMENTARY,North Carolina,12.95
GLOBAL SCHOLARS ACADEMY,North Carolina,13.32
GOLDSBORO HIGH,North Carolina,13.97
GOUGE ELEMENTARY,North Carolina,12.84
GOV. MOREHEAD SCHOOL FOR THE BLIND,North Carolina,2.06
GRADY BROWN ELEMENTARY,North Carolina,13.14
GRAHAM A BARDEN ELEMENTARY,North Carolina,12.86
GRAHAM ELEMENTARY,North Carolina,11.26
GRAHAM HIGH,North Carolina,16.58
GRAHAM MIDDLE,North Carolina,11.93
GRAND OAK ELEMENTARY,North Carolina,16.60
GRANDFATHER ACADEMY,North Carolina,3.71
GRANDVIEW MIDDLE,North Carolina,14.69
GRANDY PRIMARY,North Carolina,15.75
GRANITE FALLS ELEMENTARY,North Carolina,16.64
GRANITE FALLS MIDDLE,North Carolina,15.31
GRANITE QUARRY ELEMENTARY,North Carolina,16.10
GRANTHAM,North Carolina,15.57
GRANTHAM MIDDLE,NORTH CAROLINA,†
GRANVILLE CENTRAL HIGH,North Carolina,15.73
GRANVILLE EARLY COLLEGE HIGH,North Carolina,31.14
GRANVILLE MAGNET SCHOOL,North Carolina,14.19
GRAVELLY HILL MIDDLE,North Carolina,13.03
GRAY STONE DAY,North Carolina,14.17
GRAY'S CREEK ELEMENTARY,North Carolina,13.69
GRAY'S CREEK HIGH,North Carolina,17.41
GRAY'S CREEK MIDDLE,North Carolina,17.32
GRAYS CHAPEL ELEMENTARY,North Carolina,15.67
GREEN ELEMENTARY,North Carolina,12.63
GREEN GROVE ELEMENTARY,North Carolina,13.69
GREEN HOPE ELEMENTARY,North Carolina,16.85
GREEN HOPE HIGH,North Carolina,19.75
GREEN RIDGE ELEMENTARY,North Carolina,15.65
GREEN VALLEY ELEMENTARY,North Carolina,12.71
GREENE CENTRAL HIGH,North Carolina,14.89
GREENE COUNTY INTERMEDIATE,North Carolina,15.47
GREENE COUNTY MIDDLE,North Carolina,17.46
GREENE EARLY COLLEGE HIGH,North Carolina,20.93
GREENLEE PRIMARY,North Carolina,14.32
GREENSBORO ACADEMY,North Carolina,20.30
GREENWAY PARK ELEMENTARY,North Carolina,15.76
GREENWOOD ELEMENTARY,North Carolina,16.58
GREENWOOD MIDDLE,North Carolina,15.52
GREGORY SCHOOL OF MATH SCIENCE AND TEC,North Carolina,13.54
GRIFFITH ELEMENTARY,North Carolina,13.70
GRIFTON,North Carolina,14.92
GRIMSLEY HIGH,North Carolina,18.84
GROVE PARK ELEMENTARY,North Carolina,14.65
GROVER C FIELDS MIDDLE,North Carolina,12.88
GROVER ELEMENTARY,North Carolina,14.73
GTCC MIDDLE COLLEGE HIGH,North Carolina,12.90
GUIDEWAY ELEMENTARY,North Carolina,15.09
GUILFORD ELEMENTARY,North Carolina,16.45
GUILFORD MIDDLE,North Carolina,15.11
GUILFORD PREPARATORY ACADEMY,North Carolina,12.20
GUY B TEACHEY ELEMENTARY,North Carolina,14.88
H B SUGG ELEMENTARY,North Carolina,14.77
H H BEAM ELEMENTARY,North Carolina,15.49
H J MACDONALD MIDDLE,North Carolina,18.37
H L TRIGG COMMUNITY,North Carolina,6.30
HALIWA-SAPONI TRIBAL SCHOOL,North Carolina,11.67
HALL FLETCHER ELEMENTARY,North Carolina,12.49
HALL-WOODWARD ELEMENTARY,North Carolina,14.72
HALLSBORO MIDDLE,North Carolina,12.85
HALLSBORO-ARTESIA ELEMENTARY,North Carolina,17.74
HALLYBURTON ACADEMY,North Carolina,8.33
HAMLET MIDDLE,North Carolina,14.89
HAMPTON ELEM UNIV PARTNERSHIP,North Carolina,11.41
HANES MIDDLE SCHOOL,North Carolina,15.89
HAPPY VALLEY ELEMENTARY,North Carolina,15.54
HARDIN PARK ELEMENTARY,North Carolina,11.80
HARDING UNIVERSITY HIGH,North Carolina,17.98
HARGROVE ELEMENTARY,North Carolina,15.74
HARKERS ISLAND ELEMENTARY,North Carolina,8.29
HARMONY ELEMENTARY,North Carolina,15.91
HARNETT CENTRAL HIGH,North Carolina,17.45
HARNETT CENTRAL MIDDLE,North Carolina,15.47
HARNETT PRIMARY,North Carolina,14.72
HAROLD E. WINKLER MIDDLE,North Carolina,16.14
HARPER MIDDLE COLLEGE HIGH,North Carolina,–
HARRIS CREEK ELEMENTARY,North Carolina,15.19
HARRIS ELEMENTARY SCHOOL,North Carolina,16.58
HARRIS MIDDLE,North Carolina,13.67
HARRIS ROAD MIDDLE,North Carolina,18.72
HARRISBURG ELEMENTARY,North Carolina,17.21
HARRY M ARNDT MIDDLE,North Carolina,17.68
HARVEY R NEWLIN ELEMENTARY,North Carolina,15.86
HASTY ELEMENTARY,North Carolina,15.90
HAVELOCK ELEMENTARY,North Carolina,16.29
HAVELOCK HIGH,North Carolina,15.87
HAVELOCK MIDDLE,North Carolina,14.02
HAW CREEK ELEMENTARY,North Carolina,16.69
HAW RIVER ELEMENTARY,North Carolina,12.88
HAWFIELDS MIDDLE,North Carolina,17.43
HAWK EYE ELEMENTARY,North Carolina,13.00
HAWK RIDGE ELEMENTARY,North Carolina,17.94
HAWKS NEST INTERMEDIATE,North Carolina,15.56
HAWTHORNE HIGH,North Carolina,7.06
HAYESVILLE ELEMENTARY,North Carolina,14.91
HAYESVILLE HIGH,North Carolina,12.30
HAYESVILLE MIDDLE,North Carolina,14.13
HAYNES INMAN EDUCATION CENTER,North Carolina,5.15
HAYWOOD EARLY COLLEGE,North Carolina,26.00
HAZELWOOD ELEMENTARY,North Carolina,14.86
HEALTHY START ACADEMY,North Carolina,15.87
HEIDE TRASK HIGH,North Carolina,14.42
HELENA ELEMENTARY,North Carolina,18.00
HEMBY BRIDGE ELEMENTARY,North Carolina,16.00
HENDERSON COLLEGIATE,North Carolina,15.22
HENDERSON COUNTY EARLY COLLEGE,North Carolina,33.67
HENDERSON HIGH,North Carolina,4.96
HENDERSON MIDDLE,North Carolina,12.36
HENDERSONVILLE ELEMENTARY,North Carolina,16.23
HENDERSONVILLE HIGH,North Carolina,16.77
HENDERSONVILLE MIDDLE,North Carolina,15.28
HERBERT AKINS RD ELEMENTARY,North Carolina,16.91
HERBIN METZ EDUCATION CENTER,North Carolina,5.55
HERITAGE COLLEGIATE LEADERSHIP ACADEMY,North Carolina,20.46
HERITAGE ELEMENTARY,North Carolina,15.76
HERITAGE HIGH,North Carolina,17.77
HERITAGE MIDDLE,North Carolina,16.89
HERITAGE MIDDLE,North Carolina,17.40
HERTFORD CO EARLY COLLEGE,North Carolina,18.14
HERTFORD COUNTY HIGH,North Carolina,15.56
HERTFORD COUNTY MIDDLE,North Carolina,13.10
HERTFORD GRAMMAR,North Carolina,13.62
HEYWARD C BELLAMY ELEM,North Carolina,15.73
HIBRITEN HIGH,North Carolina,13.19
HICKORY CAREER  ARTS MAGNET HIGH SCHOOL,North Carolina,11.19
HICKORY GROVE ELEMENTARY,North Carolina,16.55
HICKORY HIGH,North Carolina,15.39
HICKORY RIDGE HIGH,North Carolina,20.37
HICKORY RIDGE MIDDLE,North Carolina,17.85
HIDDEN VALLEY ELEMENTARY,North Carolina,14.20
HIDDENITE ELEMENTARY,North Carolina,16.31
HIGH POINT CENTRAL HIGH,North Carolina,16.90
HIGH SCHOOL AHEAD ACADEMY,North Carolina,7.58
HIGHCROFT ELEMENTARY,North Carolina,16.22
HIGHFALLS ELEMENTARY,North Carolina,12.94
HIGHLAND CREEK ELEMENTARY,North Carolina,19.34
HIGHLAND ELEMENTARY,North Carolina,15.10
HIGHLAND ELEMENTARY,North Carolina,17.70
HIGHLAND MIDDLE,North Carolina,15.91
HIGHLAND MILL MONTESSORI,North Carolina,19.64
HIGHLAND RENAISSANCE ACADEMY,North Carolina,15.49
HIGHLAND SCH OF TECHNOLOGY,North Carolina,13.79
HIGHLANDS SCHOOL,North Carolina,11.55
HILBURN DRIVE ACADEMY,North Carolina,16.22
HILDEBRAN ELEMENTARY,North Carolina,15.00
HILLANDALE ELEMENTARY,North Carolina,15.05
HILLANDALE ELEMENTARY,North Carolina,15.03
HILLCREST ELEMENTARY,North Carolina,14.79
HILLSBOROUGH ELEMENTARY,North Carolina,14.14
HILLSIDE HIGH,North Carolina,14.40
HILLSIDE NEW TECH HIGH,North Carolina,15.17
HIWASSEE DAM ELEMENTARY/MIDDLE,North Carolina,13.64
HIWASSEE DAM HIGH,North Carolina,12.76
HOBBTON ELEMENTARY,North Carolina,14.34
HOBBTON HIGH,North Carolina,15.80
HOBBTON MIDDLE,North Carolina,16.29
HODGE ROAD ELEMENTARY,North Carolina,12.39
HOKE COUNTY HIGH,North Carolina,15.73
HOLBROOK MIDDLE,North Carolina,18.19
HOLLISTER ELEMENTARY,North Carolina,15.00
HOLLY GROVE ELEMENTARY,North Carolina,16.88
HOLLY GROVE MIDDLE,North Carolina,17.66
HOLLY RIDGE ELEMENTARY,North Carolina,15.90
HOLLY RIDGE MIDDLE,North Carolina,17.68
HOLLY SHELTER MIDDLE,North Carolina,14.59
HOLLY SPRINGS ELEMENTARY,North Carolina,16.84
HOLLY SPRINGS HIGH,North Carolina,19.67
HOLLY TREE ELEMENTARY,North Carolina,17.27
HOLT ELEMENTARY,North Carolina,12.76
HOLTON CAREER AND RESOURCE CENTER,North Carolina,–
HOMEBOUND/ HOSPITAL EDUCATION,North Carolina,3.68
HOMINY VALLEY ELEMENTARY,North Carolina,15.62
HOPE ELEMENTARY,North Carolina,12.40
HOPE MIDDLE,North Carolina,15.75
HOPE MILLS MIDDLE,North Carolina,16.16
HOPE VALLEY ELEMENTARY,North Carolina,13.11
HOPEWELL ELEMENTARY,North Carolina,16.89
HOPEWELL HIGH,North Carolina,18.85
HORIZONS ELEMENTARY,North Carolina,4.79
HORNETS NEST ELEMENTARY,North Carolina,16.81
HORTON MIDDLE,North Carolina,15.87
HOT SPRINGS ELEMENTARY,North Carolina,10.30
HOWARD HEALTH & LIFE SCIENCES,North Carolina,13.12
HOWARD L HALL ELEMENTARY,North Carolina,15.59
HUDSON ELEMENTARY,North Carolina,14.79
HUDSON MIDDLE,North Carolina,14.23
HUGH M CUMMINGS HIGH,North Carolina,17.73
HUNTER ELEMENTARY,North Carolina,14.30
HUNTER ELEMENTARY,North Carolina,13.06
HUNTER HUSS HIGH,North Carolina,17.03
HUNTERS CREEK ELEMENTARY,North Carolina,15.20
HUNTERS CREEK MIDDLE,North Carolina,16.39
